feature,importance
text_264,0.005289283
text_394,0.005286763
text_106,0.005268074
text_699,0.005221469
text_659,0.005217147
text_481,0.0051920344
text_509,0.0051864786
text_414,0.005127212
text_222,0.0051096017
text_145,0.0050852
text_494,0.0050785434
text_663,0.0050497698
text_492,0.005035895
text_28,0.0050116736
text_211,0.004982977
text_83,0.0049659605
text_324,0.0049346406
text_665,0.0049219104
text_217,0.004887148
text_43,0.0048769885
text_312,0.0048735365
text_385,0.004846116
text_183,0.0048369695
text_16,0.004831045
text_673,0.004830123
text_72,0.004812497
text_355,0.004809887
text_543,0.004805463
text_308,0.004803524
text_269,0.0047981227
text_281,0.004772189
text_514,0.004748294
text_671,0.0047454424
text_216,0.0047361623
text_18,0.004725265
text_157,0.004718396
text_566,0.0047038402
text_556,0.0046939026
text_741,0.0046828487
text_167,0.0046762843
text_30,0.0046744696
text_120,0.0046630884
text_251,0.004653802
text_162,0.004650081
text_692,0.004645626
text_432,0.004645619
text_446,0.004630887
text_733,0.0046279556
text_548,0.004627254
text_186,0.0046266816
text_136,0.0046211
text_539,0.0046109864
text_381,0.0046057375
text_728,0.004590224
text_148,0.004570904
text_682,0.004567594
text_709,0.0045634056
text_715,0.004550223
text_603,0.0045309304
text_506,0.004529449
text_79,0.0045234
text_596,0.0045085168
text_346,0.004506066
text_510,0.004505393
text_416,0.0044967886
text_485,0.004490614
text_542,0.0044785226
text_767,0.0044666314
text_5,0.004456126
text_515,0.0044198404
text_288,0.0044077975
text_123,0.004392041
text_459,0.004384477
text_461,0.004377344
text_454,0.00436408
text_553,0.0043631834
text_185,0.0043594684
text_484,0.0043469514
text_371,0.0043467456
text_678,0.0043324064
text_51,0.004321807
text_8,0.0043056225
text_58,0.004292101
text_669,0.0042843004
text_258,0.004257662
text_69,0.004251877
text_585,0.0042293402
text_399,0.004202662
text_259,0.0041980864
text_114,0.0041693216
text_126,0.0041680234
text_756,0.004167124
text_554,0.004164112
text_322,0.004162476
text_356,0.004152935
text_298,0.004150541
text_116,0.0041492027
text_384,0.0041455147
text_377,0.004137739
text_703,0.0041342047
